trace,count
ab,418
cb,409
bc,405
ac,404
ca,378
ba,373
c,351
a,342
bca,329
b,326
bac,324
acb,322
abc,312
cab,311
cba,305
eeee,145
eeeee,132
eee,119
hb,87
ch,84
bh,81
hc,81
eedee,77
egeee,77
h,74
ah,72
bhc,72
ahb,71
geeee,71
ha,69
hcb,69
bch,68
cha,67
hbc,66
eeege,66
edeee,65
abh,65
eegee,65
eeeeg,65
bha,63
egee,63
hca,63
eeede,62
hac,61
chb,61
eeeed,60
ach,60
eegeee,59
eeedee,59
cbh,58
eeeg,58
hab,57
eeeede,57
eeeeeg,56
deeee,56
geeeee,55
edeeee,55
egeeee,55
cah,55
ahc,53
deeeee,53
hba,52
eeegee,52
eeeege,51
eeeeed,50
geee,48
eedeee,48
bah,47
eege,47
eeeeee,46
eeed,46
eede,46
edee,45
deee,45
bahc,45
hcba,42
acbh,42
bach,41
cbha,39
cbah,39
ahcb,39
hbac,38
gee,38
abch,38
abhc,38
hcab,37
habc,37
bhac,37
chba,36
cahb,36
hacb,35
ee,35
bcha,34
eeg,34
eegdee,34
hbca,33
eeedg,33
geedee,33
eegeed,32
achb,32
eedeeg,31
eedgee,31
eedege,31
eeegde,31
eegede,30
edeeeg,30
ede,30
eegeeed,30
ahbc,30
edegee,29
eeedge,29
egedeee,28
gedeee,28
deeege,28
deegee,28
bcah,28
cabh,27
dgeee,27
geede,27
egdeee,27
eeeged,27
geeeed,27
chab,26
degeee,26
egeeed,26
eedeg,26
gedee,26
eeeeedg,26
gdeeee,25
eeeegde,25
eegde,25
geedeee,25
deegeee,24
eedeeeg,24
deeeeg,24
ege,24
bhca,23
eedeege,23
eeeeegd,23
edgeee,23
deeeg,23
dgeeee,23
eg,22
egeede,22
eedg,22
egede,22
g,22
degee,21
egeeeee,21
edeeg,21
egdee,21
eeedeg,21
eeegd,21
eeeegee,21
edege,20
egeeeed,20
eegeeee,20
eegeede,20
eeeegd,20
gdeee,20
geeeeee,20
degeeee,19
geeeede,19
eeegdee,19
edegeee,19
eeegeed,19
eeeedeg,18
gede,18
egedee,18
eegd,18
dee,18
edeeeee,18
gedeeee,18
eedgeee,18
eedge,18
edeege,17
geeede,17
eedeeee,17
geeed,17
eeeeeeg,17
deege,16
gdee,16
deeeege,16
eeeeeed,16
eeged,16
egeed,16
edge,16
edeeeeg,16
eeedeeg,16
geeedee,15
deeegee,15
eeeeede,15
eegdeee,15
ge,15
e,14
ei,14
gdeeeee,14
eeedgee,14
eeeeged,14
eeeedg,14
edgee,14
eedegee,14
geed,14
eeeedge,14
egeeede,14
dgeeeee,13
edeeege,13
eeeeege,13
deeeeee,13
eeegeee,13
eegedee,13
eed,13
edgeeee,13
deeeeeg,12
eeedege,12
edeegee,12
icg,12
egeedee,12
hf,12
iec,12
deeeeeeg,11
bcf,11
gih,11
dege,11
ahf,11
eeedeee,11
eeeedee,10
hi,10
ih,10
geeeeed,10
cei,10
gc,10
dgee,10
eeegede,10
ehc,10
hci,10
cf,10
afc,10
eged,10
cge,9
ec,9
gec,9
ceh,9
gi,9
hgie,9
egdeeee,9
eig,9
dgeeeeee,9
edeg,9
hfa,9
ieh,9
bf,9
ed,9
hcg,9
gei,9
eeeegede,9
eih,9
fha,9
ieg,9
eeedegee,8
eedgeeee,8
fa,8
heg,8
deeg,8
edeeeege,8
eigc,8
deeegeee,8
egh,8
egde,8
eedegeee,8
fbc,8
gce,8
cg,8
ech,8
ehi,8
eeeeedeg,8
fac,8
ie,8
hce,8
ci,8
egc,8
gic,7
igec,7
iehg,7
eeeeeegd,7
egeeeeed,7
fcb,7
che,7
cieh,7
iehc,7
eeegeede,7
hfba,7
ghi,7
cie,7
bfc,7
cbf,7
f,7
egi,7
ceig,7
eh,7
cihe,7
ighc,7
fba,7
ehgc,7
de,7
he,7
hgi,7
eci,7
cgi,7
gceh,7
bfac,7
eghc,7
geeedeee,6
cfba,6
hgci,6
igce,6
hgic,6
ehg,6
hig,6
hecg,6
ce,6
deeeegee,6
cfb,6
hg,6
fab,6
hafc,6
hgec,6
eeedeeeg,6
fbah,6
i,6
gice,6
egch,6
fhb,6
fch,6
hegc,6
iheg,6
gedeeeee,6
ceg,6
gehe,6
gihc,6
gci,6
ghe,6
hgc,6
cegh,6
iceg,6
hec,6
hcfa,6
egeeeede,6
geedeeee,6
ahcfb,6
geh,6
bfha,6
ghc,6
geeeeeed,6
ihe,6
fc,6
hfb,6
dge,6
heicg,6
cfab,6
feh,6
fb,6
gcie,6
eegeedee,6
eeegeeed,6
hcgi,6
heic,6
egci,6
cfah,6
igh,6
bafh,6
eeeegeed,6
heci,6
eic,5
ich,5
ig,5
egih,5
ihgc,5
eegedeee,5
bchfa,5
eihg,5
eehe,5
eedeeeeg,5
iechg,5
fcab,5
fhab,5
ecgh,5
ihg,5
abf,5
fah,5
hei,5
cghei,5
ehig,5
eegdeeee,5
cehi,5
egeeedee,5
afh,5
fcba,5
fchb,5
chg,5
chie,5
ecihg,5
acbf,5
gie,5
chaf,5
ehgi,5
ihec,5
fbhc,5
edgeeeee,5
eegeeeed,5
ehgic,5
iech,5
hbf,5
giec,5
ic,5
hiegc,5
ghce,5
ehigc,5
gehi,5
cafh,5
eeeeeedg,5
hfca,5
giech,5
cehg,5
cig,5
ghie,5
eice,5
chbf,5
ahbf,5
achf,5
cbhf,5
hiec,5
iegc,5
bcfh,5
bfh,5
chfa,5
hge,5
egeedeee,5
hgei,5
eiee,4
cafb,4
fh,4
afbch,4
chf,4
igc,4
fca,4
iee,4
gde,4
afb,4
bhfac,4
fbca,4
ahfb,4
ighe,4
hie,4
ihc,4
eei,4
cgh,4
hcafb,4
gich,4
ige,4
cihge,4
ahfc,4
eceh,4
hgiec,4
fabh,4
heig,4
bcfa,4
bfch,4
higce,4
edeegeee,4
fahc,4
hbcf,4
ihcge,4
ged,4
bfa,4
gh,4
egcih,4
af,4
cfbh,4
hcfab,4
chei,4
cabfh,4
eeeeegde,4
cheg,4
hicge,4
gcih,4
cgehi,4
eeegedee,4
gihe,4
geeeedee,4
eeeeedge,4
fhc,4
cghi,4
ehegci,4
cfhb,4
echi,4
ghei,4
ecgi,4
acfh,4
iceh,4
degeeeee,4
chafb,4
fcei,4
deg,4
hcige,4
fcha,4
eedeeege,4
eihc,4
hcaf,4
fhca,4
chgei,4
cgei,4
ice,4
ehci,4
hcge,4
hfc,4
hiecg,4
eigch,4
bfhc,4
facbh,4
fhcb,4
egich,4
eeeegdee,4
igehe,4
acfhb,4
egce,4
edeeegee,4
hige,3
cif,3
afbhc,3
iecg,3
gcei,3
eeedeege,3
hceig,3
geeeeede,3
hegee,3
ihge,3
ehcgi,3
eechg,3
fbahc,3
ecegi,3
hbacf,3
acfb,3
eieg,3
eich,3
gece,3
iege,3
eeegdeee,3
bchf,3
afhb,3
ehic,3
ihgec,3
fcbh,3
gchi,3
eegh,3
fbach,3
cfhba,3
afch,3
bhfa,3
hieg,3
fhac,3
gihce,3
eihecg,3
hiece,3
ieeg,3
cigh,3
eieec,3
ieeege,3
hic,3
ecg,3
ife,3
achfb,3
abcf,3
cife,3
ecig,3
icf,3
cefg,3
hgee,3
igch,3
ghci,3
eeiege,3
eec,3
ecf,3
eeeedege,3
afbh,3
eeheic,3
feg,3
fbch,3
icge,3
echg,3
cgeh,3
cehgi,3
abhcf,3
bcfah,3
fahbc,3
ihecg,3
cfhab,3
bacf,3
hfabc,3
eegeeede,3
afcb,3
cahfb,3
hece,3
hege,3
heec,3
eigh,3
ehcf,3
geie,3
gcieh,3
edg,3
egic,3
eceie,3
chfb,3
hice,3
gieee,3
cbfh,3
icehg,3
eheeec,3
geih,3
gche,3
egeh,3
heicee,3
egd,3
hfbca,3
afbc,3
hfbc,3
hgce,3
bfah,3
chge,3
ehec,3
haf,3
fabc,3
fhiec,3
higc,3
geei,3
eeeedgee,3
fcbha,3
hcei,3
acf,3
ehe,3
eie,3
eeeeeged,3
ece,3
eeegh,3
cgih,3
cegi,3
fhe,3
cheege,3
ceigh,3
habf,3
fbh,3
ghcie,3
cbahf,3
hiee,3
gehc,3
facb,3
chegi,3
cegf,3
ieghe,3
cghie,3
ghee,3
cegeei,3
ieeh,3
hbaf,3
icef,3
ehcg,3
ceih,3
abfh,3
edeeeeeg,3
baf,3
ghic,3
gihec,3
chbaf,3
eeeig,3
cfa,3
cih,3
chfge,2
eeghie,2
efgce,2
eegc,2
afhc,2
fcghe,2
eehg,2
egeci,2
hgeei,2
geece,2
hceg,2
eehc,2
deegeeee,2
eeci,2
cghe,2
eeehc,2
eiecg,2
eicgeh,2
gehce,2
geci,2
bhcf,2
iefc,2
eegieehe,2
cieg,2
ieehg,2
iegehc,2
cege,2
heice,2
fei,2
hfg,2
fhcg,2
eeeeih,2
egchf,2
cbaf,2
eeceeei,2
cifg,2
eicee,2
hgfci,2
chig,2
gehec,2
fgci,2
cgf,2
gcfhie,2
gihf,2
fabhc,2
iehgc,2
hfgc,2
ceehi,2
fach,2
eceegh,2
hieecg,2
ceihg,2
gehic,2
bhacf,2
cgieee,2
hbfa,2
iecfh,2
eegie,2
ghiec,2
gcieee,2
ceieh,2
ciheg,2
eece,2
bfach,2
ieeeg,2
eige,2
eeceeee,2
edegeeee,2
giceh,2
caf,2
eiche,2
heeec,2
heie,2
heeei,2
ehegce,2
eiec,2
hgecee,2
cfbah,2
egei,2
hfac,2
chgf,2
icgfe,2
geic,2
chi,2
gifec,2
cfig,2
bhfc,2
egec,2
ceghi,2
ieehee,2
ghfi,2
ceie,2
cbfha,2
ceigf,2
bhafc,2
cieeeg,2
igehec,2
cigfh,2
hcabf,2
hiege,2
gchie,2
eeiec,2
eeeegc,2
efgi,2
fehgi,2
cgeih,2
hhc,2
cbhaf,2
bhcaf,2
egihce,2
hieee,2
hicg,2
igehc,2
fcabh,2
fhbca,2
gehci,2
ghceei,2
geihc,2
iecee,2
gcef,2
hegcf,2
egicf,2
iehegc,2
gif,2
gcihe,2
fegh,2
egecfhe,2
cgieh,2
fegi,2
eeceg,2
gechei,2
achbf,2
hcig,2
heceeeg,2
cihg,2
hgice,2
hceeee,2
cheeeig,2
chef,2
eeec,2
eecieg,2
ecghe,2
ihceg,2
gieec,2
eigce,2
eeeeh,2
ciegf,2
egeeic,2
ghice,2
eiecge,2
iegh,2
igceh,2
hbfc,2
geich,2
cheeig,2
heeg,2
cheeg,2
ehgciee,2
egiceeh,2
igechf,2
cahbf,2
fecih,2
hegi,2
geice,2
ceihe,2
fhacb,2
bhaf,2
geehi,2
fcie,2
geeec,2
heece,2
giche,2
feihc,2
fahb,2
cfe,2
cee,2
cgeie,2
fchi,2
gheic,2
eeigch,2
fche,2
ecgei,2
eeeedeeg,2
fcahb,2
eghci,2
gdeeeeee,2
cbfa,2
cigeh,2
fhcab,2
ceeeef,2
gech,2
echig,2
gfhe,2
eegi,2
heeiceee,2
ecge,2
bfca,2
eicgh,2
ehgci,2
icgh,2
hecgi,2
hcfba,2
icheg,2
igeche,2
hcf,2
ighce,2
ieec,2
feih,2
fice,2
bhfca,2
fhbc,2
cahf,2
icghe,2
eghe,2
fchab,2
chige,2
gceei,2
eiege,2
eheeeie,2
acfbh,2
cfbha,2
egice,2
abchf,2
ehee,2
fhabc,2
ghcei,2
cfihg,2
ceeee,2
ecigee,2
chiegeee,2
chgee,2
hcief,2
eeedgeee,2
eiegh,2
fgee,2
hgfe,2
gehei,2
echee,2
efcih,2
hegec,2
eedeegee,2
