case_id,event_label
0,bach
1,cab
2,abc
3,ba
4,bca
5,ac
6,abc
7,facbh
8,hb
9,hb
10,ghe
11,cei
12,cab
13,cgfe
14,ghic
15,acb
16,cieeg
17,ghce
18,egc
19,ciefg
20,hcg
21,egceie
22,hc
23,chgei
24,hgi
25,eghc
26,egec
27,gi
28,cfeihg
29,bfac
30,abh
31,hig
32,igh
33,hca
34,heeecig
35,hgf
36,chegf
37,fge
38,cefg
39,cghie
40,ghhei
41,icg
42,eegeeed
43,ahb
44,ba
45,ba
46,acb
47,bca
48,ab
49,ab
50,bac
51,a
52,b
53,bch
54,hb
55,hb
56,ba
57,b
58,ehc
59,cghe
60,igehfc
61,gei
62,ece
63,eeehc
64,b
65,cgi
66,icgfe
67,geic
68,ceefhg
69,heie
70,geehic
71,ciheg
72,bh
73,ecegi
74,igeehe
75,cge
76,cfeeigeh
77,ha
78,eceih
79,hgeic
80,eiche
81,hceg
82,eeiecg
83,ba
84,acbh
85,icgehe
86,e
87,deeeee
88,geee
89,hfc
90,cfeehi
91,cif
92,ehgcf
93,ba
94,efehc
95,dgeee
96,b
97,deeee
98,edee
99,bhc
100,bca
101,ba
102,bc
103,bac
105,ah
106,hac
107,acb
108,ab
109,bach
110,ba
111,hfabc
112,cb
113,cb
114,bca
116,abc
117,abc
118,cife
119,gih
120,cgi
121,he
122,hac
123,igeche
124,egedee
125,ba
126,eeeegd
127,c
128,geede
129,ihec
130,efcih
131,gcfie
132,cifeh
133,eegdee
134,hee
135,eighc
136,eihecg
137,icg
138,eeeee
139,ah
140,egde
141,eegeeeed
142,de
143,hgeiec
144,ehcge
145,echigeee
146,hcba
147,geeche
148,bca
149,gfeich
150,egeeed
151,eeee
152,eeedgee
153,ba
154,deeeee
155,eegedee
156,geeedeee
157,eeeged
158,bcha
159,deeeee
160,eeeeed
161,bc
162,fa
163,ba
164,ahb
165,abhc
166,ac
167,abc
168,ha
169,ca
170,hca
171,hfca
172,cbah
173,ca
174,ca
175,ife
176,eicg
177,ceih
178,ieeegech
179,eeiheefe
180,geecihe
181,deeeeee
182,eig
183,hcab
184,cehg
185,bca
186,ih
187,eheeceie
188,h
189,eceehe
190,ieeeecg
191,acb
192,egeeee
193,eeedee
194,eedege
195,geeee
196,eedgee
197,ab
198,geihe
199,eee
200,b
201,deeeg
202,ighc
203,eeede
204,gdee
205,gdeee
206,eeee
207,cb
208,cb
209,bca
210,cab
211,ca
213,ab
214,cb
215,bh
216,bca
217,bc
218,cab
219,cb
220,c
221,hbca
222,ca
223,i
224,hegiee
225,geceeie
226,eeedeeg
227,edgee
228,eegeeed
229,cb
230,gdeeee
231,eedegee
232,geeee
233,deeege
234,egieh
235,geeieh
236,eeheeifg
237,eeeegc
238,eeeeicg
239,ac
240,ceefiehee
241,c
242,ab
243,eege
244,deeeee
245,abc
246,eege
247,egeedee
248,eegdee
249,achb
250,hfbca
251,egd
252,egeee
253,edege
254,c
255,eeeeegd
256,eeeeeg
257,b
258,achb
259,bha
260,ac
261,bc
263,ca
264,cba
265,bhcaf
266,ab
267,bcf
268,a
269,hbca
270,fbca
271,acb
272,bc
273,acbh
274,ch
275,abc
276,cah
277,c
278,a
279,bca
280,hc
281,ba
282,ahc
283,cab
284,bca
285,bc
286,bh
287,cb
288,bca
289,ba
290,b
291,ba
292,bhac
293,b
294,cb
295,chbf
296,ahbf
297,ac
298,abhc
299,hc
300,ac
301,cf
302,hba
303,acbh
304,cab
305,b
306,ahc
307,abh
308,ba
309,habc
310,cahb
311,hiegc
312,ech
313,acb
314,fh
315,hci
316,i
317,cihge
318,hb
319,cei
320,geehi
321,icehg
322,egih
323,cige
324,gi
325,eeeedeg
326,ca
327,geedeee
328,cgeie
329,eeegdee
330,eeeee
331,edeeegee
332,eecheg
333,fhcb
334,heeicf
335,gceh
336,cgei
337,fhiec
338,eci
339,ecihege
340,egceih
341,eeeedeg
342,igceh
343,eeeed
344,bcf
345,edeeeg
346,eegeee
347,ab
348,c
349,fhab
350,chba
351,bha
352,ab
353,cbha
354,fba
355,hbc
357,abhc
358,a
359,acb
360,ach
362,hbc
363,ab
364,ab
365,ab
366,iechg
367,fehg
368,icgefh
369,cg
370,ehgc
371,egch
372,hiec
373,bch
374,feghc
375,egeeic
376,ehec
377,ecgei
378,gheic
379,h
380,hgc
381,abc
382,cegh
383,ifegec
384,bac
385,fehig
386,eeeegc
387,eceeeeie
388,eehegeee
389,cb
390,acbh
391,fhiec
392,ieheg
393,eecieg
394,ha
395,edeeege
396,geeede
397,egee
398,cba
399,deee
400,bc
401,eeeeed
402,deeee
403,edeegee
404,eeegee
405,eeg
406,ch
407,bahc
408,eeedeeg
409,ab
410,b
411,ha
412,c
413,ba
414,hbca
415,acb
416,ca
417,ca
418,cb
419,bca
420,cabh
421,chba
422,gh
423,eichg
424,gifce
425,hgei
426,hg
427,cigh
428,igehe
429,fecege
430,gcieee
431,eeee
432,eeegde
433,deeg
434,eegeee
435,ab
436,ba
437,ei
438,iecg
439,eeehg
440,eceiegee
441,abc
442,cegieehe
443,ac
444,eeeecfeh
445,eeeee
446,eehefgee
447,eeeed
448,edeeee
449,egeed
450,deeeeeg
451,bca
452,cab
453,eede
454,eedgee
455,eegedee
456,edeeg
457,eeeeee
458,eedeege
459,edeegee
460,edeeeege
461,a
462,acb
463,af
464,ab
465,acb
466,fha
467,ca
468,ca
469,bca
470,abc
471,ba
472,chbaf
473,cha
474,cabh
475,ab
476,ha
477,feh
478,geh
479,fiheg
480,c
481,ca
482,icg
483,eeceeh
484,cahb
485,eece
486,cgeeieh
487,iegee
488,egih
489,eehffhic
490,chegei
491,ecehegee
492,eegieeche
493,eehcig
494,geedee
495,hcab
496,geee
497,egeeede
498,ede
499,eeeee
500,cab
501,eedegeee
502,eifeeh
503,egeeihe
504,heeg
505,edgeee
506,egeee
507,cb
508,eeeedee
509,eegeeed
510,acb
511,eedegee
512,eeeed
513,acb
514,deeeege
515,eedeeg
516,eeeeeed
517,geeeeee
518,eeeegdee
519,chab
520,hcba
521,ba
522,ba
523,a
524,c
525,bca
526,ab
527,hcab
528,ab
529,ab
530,bcha
531,cb
532,ab
534,cab
535,b
536,eehi
537,eeig
538,eie
539,fhi
540,ieceheeg
541,hgeei
542,ceeheegfie
543,eeee
544,eedgeee
545,eeged
546,cfah
547,giceeeh
548,eheecig
549,eee
550,eeedee
551,eeeeede
552,geeede
553,eeeg
554,eeeeg
555,ieeh
556,b
557,geeeeeh
558,eeeeee
559,eedeee
560,hac
561,deeee
562,deegee
563,geeedeee
564,edeee
565,egeeee
566,eedee
567,eeeged
568,ee
569,ba
570,deegeee
571,eedeee
572,ba
573,abh
574,a
575,bc
576,cbh
577,hba
578,cah
579,cb
580,bhca
581,c
582,abc
583,cab
584,c
585,ah
586,ba
587,bac
588,cba
589,ab
590,b
591,bahc
592,b
594,ach
595,acb
596,cahb
597,ahc
598,cab
599,h
600,bca
601,bc
602,ac
603,ab
605,cba
606,abc
607,bc
608,bca
609,bca
610,abc
611,hc
612,ac
613,ba
614,ac
615,cbah
616,cab
617,ac
618,bach
619,ba
620,hb
621,acb
622,cab
623,ab
624,bac
625,c
626,bch
627,acbh
628,hceig
629,gihe
630,ihc
631,ghi
632,hba
633,ei
634,ecieh
635,hcige
636,egeci
637,hcge
638,b
639,gih
640,cie
641,h
642,cha
643,fbahc
644,cefg
645,abc
646,gchi
647,eechg
648,cba
649,iegc
650,ecigee
651,chgee
652,a
653,hgec
654,iecg
655,c
656,eehie
657,iechg
658,gfhe
659,bcha
660,hgeeece
661,eci
662,efhig
663,gcieeh
664,edegee
665,cbh
666,hgfe
667,hcgee
668,eeee
669,eedeeeg
670,deee
671,eee
672,ach
673,cfhab
674,acb
675,ch
676,ab
677,cba
678,ca
679,bhc
680,ba
681,ab
682,b
683,achb
684,hbc
685,ac
686,cb
687,b
688,cb
689,hc
690,cba
691,chb
692,b
693,bch
694,ehi
695,fheg
696,cgfeih
697,a
698,c
699,igchf
700,ceieg
701,cab
702,fhgec
703,hac
704,egeeed
705,eeeege
706,ab
707,ehg
708,achb
709,gece
710,hceie
711,cehig
712,ihfecg
713,icee
714,cheig
715,efech
716,ieeefeec
717,iefehec
718,eegch
719,eedeege
720,bhc
721,eghcif
722,geeeeed
723,eeedee
724,heigc
725,ac
726,eeeeed
727,eeeeeg
728,deee
729,deeeegee
730,cba
731,eegeede
732,a
733,ab
734,eedegee
735,c
736,cb
737,cbh
738,bac
739,bca
740,c
741,bch
742,ab
743,cb
744,hgec
745,gice
746,gh
747,hcg
748,ca
749,cab
750,gce
751,cih
752,ifgch
753,chge
754,eeeeeg
755,egeh
756,ehie
757,eeedeee
758,ceeiheg
759,gceehei
760,eechgi
761,eedeee
762,eeeedee
763,deeeeeg
764,cb
765,icheefe
766,gieec
767,eedg
768,eegeee
770,b
771,deegee
772,edeee
773,ahbc
774,deeeeg
775,eedegee
776,eedege
777,eeedee
778,eeeee
779,bc
780,habc
781,bca
782,cb
783,ac
784,cab
785,ca
786,hbac
787,bc
788,hcba
789,ab
790,hcb
791,acb
792,ahb
793,b
794,cb
795,ifge
796,cge
797,feihc
798,ba
799,gfcei
800,achb
801,i
802,hi
803,gihc
804,cbh
805,eceiehefg
806,cab
807,eeedeeg
808,eeegeede
809,gdeeeeee
810,cbfa
811,eeeeghie
812,eegee
813,eegde
814,eeeee
815,eeege
816,cab
817,gieeeh
818,ieeech
819,geeecei
820,eeegh
821,eeedege
822,eedeeg
823,eeeeeged
824,eegd
826,egeeed
827,ede
828,cabh
829,bca
830,ba
831,hbc
832,bac
833,bhc
834,b
835,bca
836,ac
837,a
838,ac
839,cb
840,bca
841,abch
842,ba
843,cb
844,bac
845,c
846,acb
847,acb
848,bahc
849,bcha
850,a
851,ecegieh
852,fehigcef
853,egcfei
854,eehfgeci
855,cba
856,iceeehg
857,eiehcg
858,achb
859,ecehfieg
860,eeecegeie
861,eegeeeed
862,ahcfb
863,eeede
864,deee
865,eiecghef
866,eeeed
867,eieghcee
868,eieee
869,egiceeh
870,ecihegeee
871,ee
872,ehcee
873,feheegc
874,eeeee
875,eeegee
876,deegeee
877,bc
878,ahcb
879,eeedee
880,eedeeee
881,gede
882,ca
883,gdeeee
884,eeeede
885,eeged
886,hc
887,cba
888,eeeeee
890,hba
891,cb
892,bcaf
893,abc
894,acbh
895,chafb
896,chba
897,cahb
898,b
900,bca
901,acb
902,bhac
903,bch
904,ac
905,a
906,bhc
907,cba
908,b
909,bca
910,cabh
911,bhca
912,bac
913,fhb
914,cahb
915,abch
916,bac
917,bhc
918,a
919,bca
920,cb
921,a
922,hbac
923,habc
924,bc
925,ab
926,a
927,hcab
928,ca
929,b
930,ca
931,bcah
932,abc
933,ba
934,cba
935,ab
936,ba
937,cb
938,bcha
939,abh
940,acb
941,chfba
942,a
943,ca
944,bca
945,ca
946,abc
947,ch
948,a
949,ab
950,ca
951,ha
952,abhc
953,ab
954,eigch
955,geich
956,cigfeh
957,ecgh
958,ghei
959,egich
960,ch
961,bcf
962,abc
963,cgih
964,ecigf
965,cge
966,hca
967,ec
968,hf
969,iegh
970,eieeehc
971,cgfihe
972,ghefc
973,fch
974,abhc
975,hca
976,geeeee
977,eeede
978,eeeeeg
979,eeegeede
980,eegedee
981,eee
982,eeeeedg
983,eeege
984,hegc
985,hb
986,igec
987,ghciefe
988,eeg
989,eeeeg
990,eegeee
991,eegeeed
992,gedeee
993,bha
994,cba
995,acb
996,bach
997,habc
998,bca
999,cba
1000,acbh
1001,ca
1002,cb
1003,cab
1004,abc
1005,ah
1006,ca
1007,bh
1008,cab
1009,c
1010,b
1011,icg
1012,iec
1013,ciegf
1014,fcha
1015,ecgi
1016,fhie
1017,gihe
1018,cghei
1019,efhcge
1020,ab
1021,hgie
1022,eeieeehe
1023,heie
1024,iheg
1025,cigeh
1026,gedeeeee
1027,geeeee
1028,echeee
1029,eeeie
1030,fcahb
1031,ceeeieh
1032,gehe
1033,cba
1034,edeee
1035,deeegee
1036,eegee
1037,eeeee
1038,deeegeee
1039,eedeeg
1040,bc
1041,dee
1042,eeee
1043,egeeedee
1044,eeede
1045,egedee
1046,cb
1047,abc
1048,abhc
1049,afh
1050,bac
1051,ab
1052,hcba
1053,chb
1054,b
1055,ab
1056,cba
1057,bhca
1058,ca
1059,abc
1060,c
1061,ba
1062,fchi
1063,eh
1064,ghcif
1065,cfe
1066,hice
1067,gci
1068,ab
1069,eih
1070,giche
1071,fiegh
1072,acb
1073,a
1074,ich
1075,bcahf
1076,hb
1077,geeec
1078,bac
1079,egedee
1080,eeeegd
1081,a
1082,iec
1083,bc
1084,eegeee
1085,eedgee
1086,hab
1087,eeeege
1088,gdeeee
1089,eee
1090,cbh
1091,eedeeee
1092,geeed
1093,eege
1094,eeeg
1095,ab
1096,geedee
1097,eeedge
1098,eegedeee
1099,bc
1100,hacb
1101,ba
1102,b
1103,fcba
1104,c
1105,ac
1106,hca
1107,cab
