case_id,trace
0,1 2 3
1,1 2 4 3
2,1 2 5 3
3,1 6 3
4,1 7 8 3
5,1 9 10 3
6,11 12 13 14 15 3
7,11 12 16 17 18 3
8,11 12 19 20 21 3
9,11 12 22 23 24 3
10,11 12 12 13 25 3
11,1 2 26 3
12,11 12 13 27 28 3
13,11 12 16 29 3
14,11 12 19 30 3
15,1 6 3
16,11 12 12 22 31 3
17,11 12 13 27 32 3
18,11 12 19 17 33 3
19,11 12 16 34 3
20,11 12 22 35 3
21,11 12 13 36 3
22,1 7 37 3
23,11 12 19 14 38 3
24,11 12 22 39 3
25,11 12 16 40 3
26,11 12 12 16 41 3
27,11 12 13 42 3
28,11 12 22 43 3
29,11 12 12 19 44 3
30,11 12 12 12 16 14 8 3
31,11 12 16 20 45 3
32,11 12 19 20 46 3
33,1 2 3
34,11 12 22 47 3
35,11 12 12 12 16 37 3
36,11 12 13 14 48 3
37,11 12 16 17 49 3
38,11 12 19 20 50 3
39,1 6 5 3
40,11 12 13 51 3
41,11 12 22 52 3
42,1 7 10 3
43,1 9 53 3
44,1 2 3
45,1 2 3
46,1 6 23 54 3
47,1 2 55 3
48,1 6 3
49,1 7 27 56 3
50,1 9 3
51,1 2 57 3
52,1 6 58 3
53,1 2 3
54,1 7 41 3
55,11 12 13 17 54 3
56,11 12 16 59 3
57,11 12 19 60 3
58,11 12 22 61 3
59,11 12 12 13 27 40 3
60,11 12 12 16 38 3
61,1 2 3
62,11 12 16 62 3
63,11 12 19 27 56 3
64,11 12 12 13 14 34 3
65,11 12 12 19 52 3
66,11 12 12 12 12 12 12 13 14 63 3
67,1 6 23 64 3
68,11 12 16 65 3
69,11 12 19 66 3
70,11 12 13 23 67 3
71,11 12 12 13 20 21 3
72,11 12 12 16 68 3
73,1 7 69 3
74,11 12 22 70 3
75,1 2 3
76,11 12 16 55 3
77,11 12 13 57 3
78,11 12 19 20 71 3
79,11 12 22 58 3
80,11 12 12 19 59 3
81,1 2 63 3
82,11 12 12 12 12 12 12 72
83,11 12 12 13 17 42 3
84,11 12 12 22 20 45 3
85,11 12 12 12 12 12 12 72
86,11 12 12 12 12 12 12 72
87,11 12 12 13 30 3
88,11 12 12 19 14 66 3
89,11 12 12 22 27 46 3
90,11 12 12 12 12 12 12 72
91,1 6 3
92,1 2 23 73 3
93,1 7 3
94,1 9 74 3
95,1 75 3
96,1 76 27 77 3
97,1 2 68 3
98,1 6 78 3
99,1 2 3
100,1 6 79 3
101,1 7 3
102,1 7 3
103,1 2 3
104,1 6 14 80 3
105,1 7 3
106,1 9 3
107,1 2 81 3
108,1 6 3
109,1 7 82 3
110,1 2 20 4 3
111,1 2 83 3
112,1 6 3
113,11 12 13 17 15 3
114,11 12 16 30 3
115,11 12 19 24 3
116,11 12 22 47 3
117,1 7 14 5 3
118,11 12 12 13 23 63 3
119,11 12 12 16 32 3
120,1 9 3
121,1 75 3
122,11 12 19 14 28 3
123,11 12 12 12 12 12 13 77 3
124,11 12 16 23 35 3
125,11 12 22 74 3
126,11 12 12 13 20 62 3
127,11 12 12 16 14 61 3
128,11 12 12 19 47 3
129,11 12 12 12 12 12 16 28 3
130,11 12 12 12 12 12 19 35 3
131,11 12 12 16 27 50 3
132,11 12 12 19 27 64 3
133,11 12 19 23 60 3
134,11 12 22 39 3
135,11 12 12 12 12 12 22 17 34 3
136,11 12 12 12 12 12 12 72
137,11 12 16 78 3
138,11 12 19 27 43 3
139,11 12 13 79 3
140,11 12 12 12 12 12 12 72
141,11 12 22 81 3
142,11 12 12 12 12 12 12 72
143,11 12 12 12 12 12 12 72
144,11 12 12 12 12 12 12 72
145,11 12 12 12 12 12 12 72
146,11 12 12 12 12 12 12 72
147,11 12 12 12 12 12 12 72
148,1 2 10 3
149,1 6 23 33 3
150,1 7 8 3
151,1 2 3
152,1 6 3
153,1 7 26 3
154,1 2 3
155,1 6 3
156,1 7 3
157,1 9 37 3
158,1 2 53 3
159,1 6 3
160,1 2 3
161,1 6 29 3
162,1 7 27 18 3
163,1 9 3
164,1 75 14 64 3
165,1 2 69 3
166,1 7 36 3
167,1 9 3
168,1 6 63 3
169,11 12 13 24 3
170,11 12 16 57 3
171,11 12 19 31 3
172,11 12 22 20 48 3
173,11 12 12 12 12 12 12 13 35 3
174,11 12 12 12 12 16 25 3
175,11 12 12 12 12 19 60 3
176,11 12 19 28 3
177,11 12 22 27 51 3
178,11 12 12 12 12 22 27 65 3
179,11 12 12 12 12 12 12 13 20 54 3
180,11 12 12 12 12 12 12 72
181,11 12 12 12 12 12 12 72
182,11 12 22 38 3
183,11 12 12 12 12 12 12 72
184,11 12 12 12 12 12 12 72
185,11 12 12 12 12 12 12 16 65 3
186,1 2 3
187,11 12 12 12 12 12 12 72
188,11 12 12 12 12 12 12 72
189,11 12 12 12 12 12 12 72
190,11 12 12 12 12 12 12 72
191,11 12 12 12 12 12 12 72
192,1 6 3
193,11 12 12 12 12 12 12 72
194,11 12 12 12 12 12 12 72
195,1 2 3
196,1 7 82 3
197,1 9 49 3
198,11 12 12 12 12 13 73 3
199,11 12 12 12 12 12 12 72
200,11 12 12 12 12 12 12 72
201,11 12 12 12 12 12 12 72
202,11 12 12 12 12 12 12 72
203,1 75 83 3
204,11 12 12 12 12 12 12 72
205,1 76 3
206,11 12 12 12 12 12 12 72
207,11 12 12 12 12 12 12 72
208,11 12 12 12 12 12 12 72
209,1 84 77 3
210,11 12 12 12 12 12 12 72
211,11 12 12 12 12 12 12 72
212,1 2 80 3
213,11 12 12 12 12 12 12 72
214,11 12 12 12 12 12 12 72
215,1 6 29 3
216,1 7 73 3
217,1 2 3
218,1 6 23 65 3
219,1 2 69 3
220,1 7 3
221,1 6 3
222,1 9 3
223,1 75 3
224,1 2 3
225,1 6 26 3
226,1 7 3
227,1 9 3
228,1 2 53 3
229,1 75 3
230,1 6 3
231,1 2 25 3
232,1 7 17 4 3
233,1 9 55 3
234,1 2 3
235,11 12 12 12 13 17 24 3
236,11 12 12 12 16 83 3
237,1 6 3
238,1 75 3
239,11 12 12 12 19 30 3
240,11 12 12 12 22 36 3
241,11 12 12 12 12 12 16 82 3
242,11 12 12 12 12 12 12 72
243,11 12 12 12 12 12 12 72
244,11 12 12 12 12 12 12 72
245,11 12 12 12 12 12 12 72
246,11 12 12 12 12 12 12 72
247,11 12 12 12 12 12 12 72
248,1 2 3
249,11 12 12 12 12 12 12 72
250,11 12 12 12 12 12 12 72
251,11 12 12 12 12 12 12 72
252,11 12 12 12 12 12 12 72
253,11 12 12 12 12 12 12 72
254,11 12 12 12 12 12 12 72
255,11 12 12 12 12 12 12 72
256,1 2 5 3
257,11 12 12 12 12 12 12 72
258,11 12 12 12 16 31 3
259,11 12 12 12 12 12 12 72
260,11 12 12 12 12 12 12 72
261,1 6 10 3
262,11 12 12 12 12 12 12 72
263,11 12 12 12 12 12 12 72
264,1 2 3
265,11 12 12 12 12 12 12 72
266,11 12 12 12 12 12 12 72
267,1 7 3
268,11 12 12 12 12 12 12 72
269,11 12 12 12 12 12 12 72
270,1 6 8 3
271,11 12 12 12 12 12 12 72
272,11 12 12 12 12 12 12 72
273,1 9 3
274,1 2 3
275,1 6 3
276,1 2 26 3
277,1 2 3
278,1 6 37 3
279,1 7 23 82 3
280,1 9 3
281,1 2 3
282,1 6 53 3
283,1 7 3
284,1 2 3
285,1 6 55 3
286,1 2 57 3
287,1 6 58 3
288,1 2 56 3
289,1 6 41 3
290,1 7 3
291,1 9 54 3
292,1 2 29 3
293,1 2 69 3
294,1 6 36 3
295,1 7 18 3
296,1 9 3
297,1 2 33 3
298,1 6 52 3
299,1 7 3
300,1 2 3
301,1 7 74 3
302,1 6 3
303,1 2 68 3
304,1 7 3
305,1 2 78 3
306,1 6 3
307,1 7 3
308,1 2 5 3
309,1 6 10 3
310,1 2 8 3
311,1 2 3
312,1 6 37 3
313,1 7 27 18 3
314,1 2 53 3
315,1 6 57 3
316,1 2 3
317,1 2 29 3
318,1 6 69 3
319,1 7 58 3
320,1 9 33 3
321,1 75 79 3
322,1 76 81 3
323,11 12 13 64 3
324,1 2 49 3
325,1 6 14 80 3
326,1 7 3
327,1 84 3
328,11 12 16 39 3
329,11 12 19 33 3
330,1 9 59 3
331,1 76 3
332,11 12 22 52 3
333,1 85 3
334,11 12 12 13 27 39 3
335,11 12 12 19 24 3
336,11 12 12 22 81 3
337,11 12 12 12 12 12 12 72
338,11 12 12 12 12 12 12 72
339,11 12 12 12 12 12 12 72
340,1 2 3
341,11 12 12 19 83 3
342,11 12 12 22 59 59 3
343,11 12 12 13 34 3
344,11 12 12 16 17 33 3
345,11 12 12 12 12 12 12 72
346,11 12 12 19 60 3
347,1 2 47 3
348,11 12 12 22 23 30 3
349,11 12 12 12 12 12 12 72
350,11 12 12 12 12 12 12 72
351,1 6 3
352,1 7 3
353,1 9 3
354,11 12 12 16 77 3
355,11 12 12 22 25 3
356,11 12 12 12 12 12 12 72
357,11 12 12 12 12 12 12 72
358,11 12 12 13 73 3
359,11 12 12 19 15 3
360,11 12 12 12 12 12 12 72
361,11 12 12 12 12 12 12 72
362,11 12 12 12 12 12 12 72
363,11 12 12 12 12 12 12 72
364,1 2 3
365,1 6 66 3
366,11 12 12 12 12 12 12 72
367,11 12 12 12 12 12 12 72
368,11 12 12 12 12 12 12 72
369,1 7 3
370,1 9 3
371,1 2 23 37 3
372,1 6 27 55 3
373,1 2 14 57 3
374,1 6 4 3
375,1 2 3
376,1 6 5 3
377,1 7 3
378,1 6 10 3
379,1 9 3
380,1 2 8 3
381,1 6 26 3
382,11 12 13 68 3
383,11 12 16 74 3
384,11 12 19 30 3
385,1 2 3
386,11 12 22 23 28 3
387,11 12 12 13 21 3
388,1 7 58 3
389,11 12 12 16 43 3
390,11 12 12 12 12 12 12 72
391,11 12 12 12 12 12 12 72
392,11 12 12 12 12 12 12 72
393,11 12 16 78 3
394,11 12 12 13 23 49 3
395,11 12 12 16 82 3
396,11 12 12 19 27 45 3
397,11 12 12 22 42 3
398,11 12 12 12 12 12 12 72
399,1 6 53 3
400,11 12 12 12 12 12 12 72
401,11 12 12 12 12 12 12 72
402,11 12 12 12 12 12 12 72
403,11 12 12 12 12 12 12 72
404,1 2 3
405,1 6 41 3
406,11 12 12 12 12 12 12 72
407,11 12 12 12 12 12 12 72
408,11 12 12 12 12 12 12 72
409,11 12 12 12 12 12 12 72
410,1 7 54 3
411,11 12 12 12 12 12 12 72
412,11 12 12 12 12 12 12 72
413,11 12 12 12 12 12 12 72
414,1 9 3
415,11 12 12 12 12 12 12 72
416,11 12 12 12 12 12 12 72
417,1 75 23 69 3
418,11 12 12 12 12 12 12 72
419,11 12 12 12 12 12 12 72
420,11 12 12 12 12 12 12 72
421,11 12 12 12 12 12 12 72
422,11 12 12 12 12 12 12 72
423,11 12 12 12 12 12 12 72
424,1 2 3
425,1 6 3
426,1 7 56 3
427,1 2 29 3
428,1 6 36 3
429,1 2 18 3
430,1 6 3
431,1 7 3
