trace,count
11 12 72,4611
1 2 3,1380
1 6 3,1073
1 7 3,783
1 9 3,463
1 75 3,238
1 76 3,107
11 12,89
1 2 53 3,51
1 2 26 3,48
1 2 5 3,48
1 84 3,47
1 2 4 3,46
1 2 29 3,45
1 2 56 3,45
1 2 57 3,43
1 6 8 3,40
1 2 37 3,39
1 6 58 3,39
1 6 54 3,38
11 12 13 30 3,38
1 2 36 3,37
1 2 18 3,37
1 2 10 3,37
1 6 55 3,37
1 2 41 3,36
1 2 58 3,36
1 6 69 3,36
1 2 54 3,36
1 2 69 3,35
11,34
1 6 10 3,34
1 6 56 3,33
1 2 47 3,31
1 2 63 3,31
1 6 29 3,30
1 6 57 3,29
1 6 5 3,29
1 2 55 3,29
11 12 16 24 3,29
11 12 16 30 3,29
1 6 37 3,29
1 2 8 3,28
1 6 41 3,28
1 7 8 3,28
1 6 36 3,27
1 2 38 3,27
1 7 37 3,27
1 6 18 3,26
1 7 29 3,26
11 12 13 35 3,26
1 7 55 3,25
11 12 22 24 3,24
1 7 57 3,24
1 7 54 3,24
1 6 47 3,24
1 9 36 3,24
1 6 53 3,24
1 7 69 3,23
1 7 58 3,23
1 6 26 3,22
1 7 38 3,22
1 7 26 3,22
1 7 56 3,22
1 6 4 3,22
11 12 13 24 3,21
1 6 38 3,21
1 7 41 3,21
11 12 22 30 3,20
11 12 19 24 3,20
11 12 19 30 3,20
1 9 53 3,20
11 12 19 49 3,20
11 12 22 28 3,19
11 12 19 15 3,19
11 12 22 35 3,19
11 12 13 78 3,19
1 2 59 3,19
1 2 64 3,19
1 6 49 3,19
11 12 16 74 3,18
1 2 74 3,18
1 85 3,18
1 9 10 3,18
1 6 63 3,18
1 9 37 3,18
1 7 10 3,18
11 12 16 28 3,18
1 2 33 3,18
1 7 36 3,17
1 7 18 3,17
11 12 19 34 3,17
1 2 52 3,17
11 12 16 39 3,17
11 12 13 25 3,17
11 12 16 34 3,17
1 6 33 3,17
1 2 82 3,17
1 2 79 3,16
1 6 83 3,16
11 12 13 28 3,16
11 12 19 60 3,16
1 7 63 3,16
1 6 80 3,15
1 2 73 3,15
1 6 74 3,15
11 12 13 34 3,15
1 9 69 3,15
11 12 16 35 3,15
11 12 19 35 3,14
1 9 55 3,14
11 12 19 39 3,14
1 2 80 3,14
1 2 78 3,14
11 12 22 64 3,14
11 12 16 65 3,14
11 12 19 73 3,14
1 6 77 3,14
11 12 19 79 3,14
11 12 22 40 3,14
11 12 22 42 3,14
11 12 16 52 3,14
11 12 16 21 3,14
1 7 5 3,14
11 12 19 65 3,14
11 12 22 60 3,14
1 2 49 3,14
11 12 16 42 3,13
1 2 77 3,13
11 12 19 66 3,13
1 7 4 3,13
11 12 19 28 3,13
1 6 68 3,13
1 9 25 3,13
1 2 81 3,13
11 12 19 33 3,13
11 12 13 15 3,13
11 12 13 33 3,13
11 12 13 68 3,13
11 12 22 34 3,13
1 2 31 3,13
1 6 79 3,13
1 6 64 3,13
1 6 81 3,13
11 12 16 64 3,13
1 6 78 3,13
11 12 22 33 3,13
11 12 13 79 3,13
1 2 60 3,13
11 12 13 52 3,13
1 9 57 3,12
1 9 5 3,12
1 9 4 3,12
11 12 19 83 3,12
11 12 22 39 3,12
11 12 22 38 3,12
11 12 22 47 3,12
11 12 13 83 3,12
1 7 64 3,12
1 6 60 3,12
11 12 22 83 3,12
11 12 16 15 3,12
11 12 16 68 3,12
1 7 81 3,12
11 12 19 52 3,12
11 12 19 45 3,12
1 9 26 3,11
11 12 19 47 3,11
1 7 65 3,11
1 7 68 3,11
11 12 22 15 3,11
1 6 52 3,11
1 7 53 3,11
11 12 19 80 3,11
11 12 19 64 3,11
11 12 19 40 3,11
1 2 65 3,11
1 6 66 3,11
1 2 68 3,11
11 12 19 77 3,11
11 12 19 31 3,11
1 75 57 3,11
11 12 22 77 3,11
11 12 19 63 3,11
11 12 22 79 3,11
11 12 22 82 3,11
11 12 22 66 3,11
11 12 16 59 3,11
11 12 16 31 3,11
11 12 13 66 3,11
