trace,count
h,5783
c,5247
i,2313
eg,2031
ge,2004
g,1825
e,1738
d,1617
ba,148
bbbb,145
bbbbb,144
ab,136
bbb,134
gb,131
bg,131
b,128
a,119
bag,109
bbabb,105
ag,102
agb,101
ga,97
gab,97
abg,93
babbb,92
gba,91
bga,90
bb,89
abbbb,85
bbba,76
abbb,75
bbab,75
bbbba,74
bbfbb,73
fbbbb,73
bab,73
babbbb,68
babb,66
bbfbbb,65
bfbbb,64
bbbbf,64
bba,64
bbbab,62
abb,61
bbabbb,57
bbbfb,56
abbbbb,56
bbbbbb,56
bbbabb,55
bbbbab,55
bbbf,52
bbfb,51
fbbbbb,50
bfbb,49
bbbbba,47
bbbfbb,46
bgb,44
fbbb,44
bbg,43
bbbbbf,39
bfbbbb,36
gbb,36
agbb,34
bbbbfb,34
bfbbab,33
bbbg,31
gbba,31
bbfabb,31
fbabbb,30
bbbafb,30
bgab,29
bbbfab,29
bagb,29
bbfbab,29
afbbbb,29
fabbbb,28
bbbbbba,28
bbafb,28
abbbbf,28
bbbbaf,28
bbfbba,28
bbag,28
abgb,27
gbbb,27
bbabbbf,27
bbabfb,26
bbbbfa,26
bbbfba,26
babbbbb,26
abfbbbb,25
bbgb,25
bbfba,25
abbbf,25
abfbbb,25
abbfb,25
abbg,24
babbbf,24
fbbba,24
bbafbb,24
bfbabb,23
bbbaf,23
bbbabf,23
bfabbb,23
bbabf,22
babg,22
gbab,22
afbbb,22
fabbbbb,22
bgbbb,22
abbbfbb,21
fabbb,21
bbabbf,21
bbbfa,21
babbfb,21
bbfbbab,21
bafbb,20
abbfbb,20
fbbab,20
bbbbabf,20
abbbbfb,20
bafbbb,19
bbbfbba,19
fbbbbab,19
bbbabbf,19
bbfbbba,19
afbb,19
bfbab,19
fbabb,19
abbbbbb,19
bbbbbaf,19
bafbbbb,19
bbbfabb,19
bbbbabb,18
abbbfb,18
bbabfbb,18
fbbbabb,18
bbfab,18
bfbbabb,18
bgba,18
bfbba,18
bbf,18
fbbbab,18
bbfbabb,17
babbf,17
gabb,17
fbb,17
babfbb,17
bbbfbbb,17
bbabbbb,17
bbbabfb,17
bbbfbab,17
fbbbbba,17
bbbbbfa,16
abbfbbb,16
babbfbb,16
bbbbfbb,16
bbfbbbb,16
fbbbbbb,16
bfbbba,16
bfabbbb,16
abfbb,16
fbbabbb,16
bbbgb,16
babfbbb,15
abbbbbf,15
fbbabb,15
fbbbba,15
babbbbf,15
abgbb,15
bfbbbba,14
bfb,14
bfabb,14
bbbbg,14
bbbbbfb,14
bgbb,14
bbga,14
