case_id,event_label,resource
0,h,ER_PRACTITIONER3
0,e,None
0,g,None
1,c,B_BED3
1,h,ER_PRACTITIONER3
1,g,None
1,e,None
2,c,B_BED25
2,h,ER_PRACTITIONER3
2,g,None
2,e,None
3,h,ER_PRACTITIONER4
3,e,None
3,g,None
4,h,ER_PRACTITIONER5
5,c,B_BED4
5,h,ER_PRACTITIONER6
5,g,None
6,c,A_BED20
6,a,None
6,b,None
6,g,None
6,d,OR1
7,c,B_BED11
7,i,INTAKE2
7,b,None
7,a,None
7,d,OR4
8,i,INTAKE1
8,g,None
8,b,None
8,a,None
8,d,OR2
9,c,A_BED15
9,a,None
9,d,OR3
10,i,INTAKE3
10,g,None
10,a,None
11,c,B_BED5
11,h,ER_PRACTITIONER3
11,e,None
12,i,INTAKE3
12,g,None
12,a,None
12,d,OR5
13,c,B_BED31
13,a,None
14,i,INTAKE1
14,g,None
14,b,None
14,a,None
15,h,ER_PRACTITIONER4
16,i,INTAKE4
16,b,None
16,b,None
17,c,A_BED8
17,a,None
17,g,None
18,c,B_BED35
18,i,INTAKE1
18,b,None
18,a,None
18,d,OR4
19,c,A_BED18
19,i,INTAKE2
19,b,None
20,g,None
20,a,None
21,c,B_BED32
21,i,INTAKE3
21,a,None
22,c,B_BED27
22,h,ER_PRACTITIONER5
22,g,None
22,e,None
23,i,INTAKE1
23,a,None
23,b,None
23,d,OR1
24,c,A_BED19
24,i,INTAKE4
24,a,None
24,b,None
24,g,None
25,i,INTAKE2
25,g,None
26,c,B_BED8
26,i,INTAKE2
26,b,None
26,b,None
26,a,None
26,g,None
27,i,INTAKE3
27,a,None
27,b,None
27,g,None
28,c,A_BED2
28,i,INTAKE4
28,g,None
29,i,INTAKE1
29,a,None
29,g,None
29,b,None
29,b,None
30,c,B_BED26
30,i,INTAKE2
30,a,None
30,b,None
30,b,None
30,b,None
30,d,OR1
31,c,A_BED3
31,b,None
31,g,None
31,a,None
31,d,OR2
32,c,A_BED28
32,i,INTAKE1
32,b,None
32,a,None
32,g,None
32,d,OR2
33,h,ER_PRACTITIONER3
33,g,None
33,e,None
34,c,B_BED33
34,i,INTAKE4
34,g,None
34,a,None
